"Schema","Criterion","DataGenerator","Doubler","Termination","BigOh"
"RiskIt","APC","randomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"UnixUsage","ANCC","avs","DoubleNotNullsSemantic","success","LINEAR"
"JWhoisServer","UCC","directedRandomDefaults","DoubleAll","timeout","QUADRADIC"
"BioSQL","CondAICC","randomDefaults","DoubleUniquesSemantic","success","LINEAR"
"NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic","success","LINEARITHMIC"
"Cloc","NCC","directedRandomDefaults","DoubleColumns","success","QUADRADIC"
"NistWeather","ClauseAICC","directedRandomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"iTrust","AUCC","random","DoubleColumns","timeout","CUBIC"
"Cloc","AICC","random","DoubleUniquesSemantic","success","LOGARITHMIC"
"UnixUsage","NCC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"Cloc","CondAICC","directedRandom","DoubleForeignKeys","success","CONSTANT"
"NistXTS749","CondAICC","random","DoubleAll","success","LINEAR"
"JWhoisServer","AUCC","avsDefaults","DoubleTables","timeout","QUADRADIC"
"NistWeather","CondAICC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"iTrust","AICC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic","success","LINEARITHMIC"
"JWhoisServer","ANCC","randomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"JWhoisServer","APC","directedRandom","DoubleTablesColumns","timeout","QUADRADIC"
"NistXTS748","AUCC","random","DoubleNotNullsSemantic","success","LINEARITHMIC"
"Cloc","AICC","randomDefaults","DoubleForeignKeys","success","CONSTANT"
"BioSQL","ClauseAICC","directedRandomDefaults","DoubleTables","timeout","POWER 5"
"UnixUsage","ICC","avs","DoubleChecksSemantic","success","LOGARITHMIC"
"UnixUsage","AUCC","random","DoubleColumns","timeout","QUADRADIC"
"Cloc","APC","avs","DoubleTablesColumns","success","LOGARITHMIC"
"NistXTS748","CondAICC","directedRandom","DoubleUniquesSemantic","success","LINEARITHMIC"
"NistXTS749","NCC","random","DoubleTablesColumns","success","LINEARITHMIC"
"NistXTS749","AICC","randomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
